NGram,Increase,Decrease,Increase_Weight,Decrease_Weight,Increase_Ratio,Decrease_Ratio
"('in',)",26892,9951,0.72991,0.27009,3,0
"('the',)",26435,9916,0.72722,0.27278,3,0
"('and',)",27372,10339,0.72584,0.27416,3,0
"('to',)",17978,6741,0.72729,0.27271,3,0
"('of',)",14248,5326,0.7279,0.2721,3,0
"('a',)",11178,4175,0.72807,0.27193,3,0
"('for',)",9759,3631,0.72883,0.27117,3,0
"('that',)",8572,3169,0.73009,0.26991,3,0
"('were',)",8014,2836,0.73862,0.26138,3,0
"('sales',)",6347,2341,0.73055,0.26945,3,0
"('reported',)",7132,2698,0.72553,0.27447,3,0
"('with',)",4486,1643,0.73193,0.26807,3,0
"('District',)",4386,1689,0.72198,0.27802,3,0
"('demand',)",4639,1690,0.73298,0.26702,3,0
"('prices',)",5288,1972,0.72837,0.27163,3,0
"('was',)",4952,1952,0.71727,0.28273,3,0
"('activity',)",5241,1999,0.7239,0.2761,3,0
"('contacts',)",5202,1917,0.73072,0.26928,3,0
"('as',)",3913,1494,0.72369,0.27631,3,0
"('noted',)",3680,1292,0.74014,0.25986,3,0
"('but',)",3327,1195,0.73574,0.26426,3,0
"('at',)",3624,1384,0.72364,0.27636,3,0
"('some',)",2673,1011,0.72557,0.27443,3,0
"('Districts',)",2135,748,0.74055,0.25945,3,0
"('from',)",3826,1398,0.73239,0.26761,3,0
"('2011',)",302,77,0.79683,0.20317,4,0
"('continued',)",4327,1705,0.71734,0.28266,3,0
"('levels',)",2241,809,0.73475,0.26525,3,0
"('on',)",3074,1132,0.73086,0.26914,3,0
"('year',)",3638,1353,0.72891,0.27109,3,0
"('remained',)",3359,1260,0.72721,0.27279,3,0
"('are',)",2481,910,0.73164,0.26836,3,0
"('increases',)",2084,747,0.73614,0.26386,3,0
"('firms',)",2811,1114,0.71618,0.28382,3,0
"('construction',)",2894,1048,0.73415,0.26585,3,0
"('while',)",2636,892,0.74717,0.25283,3,0
"('report',)",3054,1135,0.72905,0.27095,3,0
"('or',)",1606,596,0.72934,0.27066,3,0
"('New',)",1723,618,0.73601,0.26399,3,0
"('increase',)",2057,763,0.72943,0.27057,3,0
"('commercial',)",1770,610,0.7437,0.2563,3,0
"('A',)",2272,814,0.73623,0.26377,3,0
"('The',)",2364,853,0.73485,0.26515,3,0
"('most',)",1892,687,0.73362,0.26638,3,0
"('new',)",2194,771,0.73997,0.26003,3,0
"('have',)",2584,945,0.73222,0.26778,3,0
"('last',)",2415,891,0.73049,0.26951,3,0
"('December',)",381,61,0.86199,0.13801,6,0
"('up',)",2762,1030,0.72838,0.27162,3,0
"('percent',)",2583,911,0.73927,0.26073,3,0
"('their',)",1735,646,0.72869,0.27131,3,0
"('expected',)",1581,615,0.71995,0.28005,3,0
"('than',)",1965,758,0.72163,0.27837,3,0
"('steady',)",1563,570,0.73277,0.26723,3,0
"('stable',)",855,299,0.7409,0.2591,3,0
"('estate',)",2116,782,0.73016,0.26984,3,0
"('generally',)",1241,430,0.74267,0.25733,3,0
"('since',)",2259,882,0.7192,0.2808,3,0
"('by',)",1984,730,0.73102,0.26898,3,0
